	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030
35	15.1296833698	16.7410551273	17.0298509593	16.5542330968	16.2647794601	15.0080464622	13.8784109841	14.7895614369	15.0854572893	15.4322195722	15.7413654056	16.1173009785	17.5095801778	16.3977306779	16.5910068234	17.1338078004	16.7430333764
36	15.1296833698	16.0831823988	16.4752548095	16.0400822461	16.4474737232	16.887968651	17.3564773779	17.605808691	17.8974153498	18.3742744604	17.8702578694	17.546523639	18.5957272287	18.1096909316	18.5953939324	18.2872222065	17.8026675001
37	15.1296833698	15.5310138782	15.2972348016	15.5398157662	15.3529965677	15.2197875777	14.0345205357	12.9633466684	12.8898544769	11.9314963671	11.5739508334	11.7484957992	11.398274716	11.3387898288	11.5131361558	12.1594624385	12.4825349137
38	15.1296833698	16.7410324485	17.7994636321	17.3405663413	16.9154337028	16.5245509422	16.1691102575	15.741880579	15.3957768978	17.1091858055	17.4927844374	19.4574602894	18.0454428064	17.6742584556	17.3439442067	17.5465866678	17.1001203491
39	15.1296833698	14.8831210734	15.7487289318	16.7706380194	18.5829717664	17.2207076863	19.1253807846	21.2727904481	23.6967349393	25.5314877525	26.0056141892	25.4620695416	23.7187084896	23.1338801112	25.847670681	28.9214594344	32.4065550341
40	15.1296833698	16.0831803269	16.4751665508	15.2122523465	14.0819895312	14.4227788508	15.9888948687	15.5830159604	15.2074438954	14.8625056754	16.051838299	16.3578063528	16.6443792634	16.9816412808	15.8175323914	17.5582458164	16.4065832885
41	15.1296833698	14.7121365723	15.0975274993	15.5105224271	17.1578020707	16.9144556619	17.1735013087	16.680018035	16.4694632229	15.9962624815	15.5507431191	15.1318140078	14.740280496	14.5469823774	14.1645818806	13.9970988124	15.5623719766
42	15.1296833698	14.883123646	15.2935733367	14.85202293	15.7174006447	16.1419872099	14.8970944803	16.5186466837	15.2915023242	16.9955333758	15.7774099441	16.1905862113	16.6321287772	16.4678114536	18.3547191103	18.5907753575	19.1063543645
43	15.1296833698	14.712078038	16.2826898427	16.0181320885	15.575738112	15.3708822561	14.9411862604	14.780669273	15.1879766684	15.618425277	15.5010912555	15.4108918772	17.1547697691	17.6381916129	17.9039964903	18.4071905627	20.5013364963
44	15.1296833698	16.7410886158	18.5531706249	20.593717115	20.0393637198	21.3619548646	22.9913725371	22.3510021183	24.0814166283	23.5680761915	23.998489922	26.1655706428	29.0960149477	28.0664239276	26.1971671416	29.2389968604	28.6727081589
45	15.1296833698	14.8832010602	15.1282698448	14.9344066409	14.7992689464	15.0481687663	15.8604915289	17.606465408	18.6433448356	20.7258856406	22.0912193308	20.5431091003	20.9784571307	23.3639264467	22.7344302032	21.1909475508	20.650516992
46	15.1296833698	13.9420958759	15.4430614992	15.7129625601	17.4244035816	17.7600489391	17.4564679604	16.9497089347	18.8434983756	18.317563133	18.0979527893	17.9578621647	17.4284641668	16.1616781839	18.0421336767	18.5077048567	17.1962036755
47	15.1296833698	14.7121197075	14.3213622038	14.5573551519	14.9176573347	15.9057247185	15.5215587248	15.2589042405	14.8387435029	13.7051863418	15.2172692185	15.4452203704	14.3123364604	14.1217445131	13.105216478	14.6081623035	15.5614134231
48	15.1296833698	15.3948124993	14.19143048	14.5457567214	14.8207270796	14.5541333594	14.3754557102	14.6241151243	14.1786458174	15.0040111538	15.388477329	14.2271799611	14.0510094022	14.2898843885	15.8895763554	16.8571962567	18.7662646491
49	15.1296833698	16.0831658672	16.3968925149	16.0123689318	15.5662850421	17.2461205384	18.4204649411	18.0103832858	17.7468563409	18.2132376308	18.0510405428	16.7143171922	16.6169253618	16.8648743341	15.6416057795	15.1797187824	15.1171300036
50	15.1296833698	16.0831837624	16.4753661092	18.2276514283	19.483761817	21.588635835	22.0123438586	22.4699366006	24.918003549	26.8988609503	25.0894376845	24.548508768	27.2357810384	28.2576899398	29.5439493525	28.124059959	25.7690695752
51	15.1296833698	15.531084782	16.4729785485	16.8983499539	16.4499979055	16.0328787941	16.2797273652	16.6860023557	18.4566670853	20.447483943	22.6890275606	25.2074963317	24.5921096371	24.0280526042	23.5785433728	23.2497843194	23.0135456334
52	15.1296833698	14.8832019268	15.7487950305	17.4508247095	17.9036159897	19.0232779131	19.358239153	19.7510125424	19.3285131053	19.7110950284	21.8737182463	21.5591636988	23.9918293525	24.4397474224	22.6696203274	21.0695806732	22.5625212712
53	15.1296833698	16.0832150619	14.8619912382	16.4613112599	18.2617160891	17.911636322	17.6880504034	18.1576797228	20.2131573172	20.5144868372	19.9264281946	20.4494293532	19.8770908958	22.1516502603	21.55557309	21.3701447635	23.8650257304
54	15.1296833698	13.9421021262	14.1915438989	14.4775899527	14.8048508712	15.1782306593	14.0632433582	13.069033745	12.6601780995	12.4097304712	13.2403847831	14.2930700245	13.9348698962	13.0395923974	13.4760500626	15.1488900924	14.1516005314
55	15.1296833698	14.712078316	15.6672343727	16.0411920126	16.4494443759	17.5702064686	17.137637042	18.3271075654	17.8991799485	19.1649566147	19.6228103387	21.769360978	23.4577955545	26.0541625098	25.4001597411	26.0285278467	28.9862354358
56	15.1296833698	14.7121177017	14.3213788698	15.2817858241	14.1369695909	13.8119425524	14.1111161166	15.2570398865	16.7704128087	17.2692635929	17.906027377	20.7093003497	20.496445444	21.6105539704	20.6844770123	22.7457129034	22.4064772902
57	15.1296833698	16.0832128225	17.2533343374	17.654556186	17.2342270999	19.0549170713	21.1021961723	21.6454995228	21.9705642091	22.5683180764	21.0565473854	19.7170260379	19.9288739434	19.4825742429	18.2820818596	17.915592353	17.5829399854
58	15.1296833698	15.5311233861	16.4729995827	16.0382414927	16.3184150804	15.08301294	16.6966349774	15.4871682695	15.1268506237	15.5058006865	17.228006532	17.6783193898	17.9499867287	18.4188361315	18.2194812051	19.3073371332	20.5817998395
59	15.1296833698	13.9420922279	12.8782741966	12.6631925793	12.3084023962	12.5017216665	13.3180793508	14.7817982663	14.3986661765	15.519550858	15.0898237955	14.7189943181	15.9212763441	16.2086233876	16.5420689972	16.9163257629	16.5954500591
60	15.1296833698	14.8831537757	15.1282447227	15.5355171442	15.804864604	16.731227417	17.1551828024	18.9903128177	20.1952074589	19.6493124281	20.06234343	18.6124005532	18.1352076671	16.8840873661	17.345740337	16.9361852899	15.8614144391
