	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030
26	806.562738869	778.648150342	794.552168076	766.979309674	777.79193772	785.984627673	796.780475807	788.222778723	803.800274424	797.443880994	807.858564487	801.724010785	812.104065789	822.459768695	812.592113811	842.007552798	835.314585403
27	806.562738869	818.717907211	790.106835153	819.671440915	831.456011313	822.802079639	817.291529485	825.322630053	795.98831696	810.852245117	782.047272235	776.689307802	783.635705541	793.623467664	822.663688078	852.85110602	863.276240108
28	806.562738869	801.625804123	810.574094523	822.391594797	831.188391071	842.899243838	833.700724419	803.857594968	811.907578632	806.059448328	820.712000178	811.182046199	805.143552447	799.303228782	809.41218481	799.478935943	809.240044743
29	806.562738869	801.625065806	793.780378162	823.637288286	835.415531512	826.776572459	857.619359857	874.030165276	906.771438474	897.082722014	890.735170312	902.291134402	910.401505521	918.554230865	952.269061536	960.475198685	977.982456362
30	806.562738869	798.941148326	793.865389542	788.782461954	761.115367477	769.062745031	764.169415393	771.913565293	800.657469599	791.666126475	786.44735716	758.594105406	768.437859065	778.256965745	788.084044242	759.634060838	750.169399852
31	806.562738869	823.189342694	835.244479223	826.851688225	835.749244196	806.192622981	777.680107055	750.3350098	724.085052655	738.803694024	713.093931942	722.047732724	736.92085779	752.698269278	780.153302214	808.695986048	780.713329966
32	806.562738869	823.189283695	835.240743192	852.238066182	843.504457371	813.826190414	825.0014339	841.783352034	859.355167091	890.877433921	883.229347134	915.804284334	949.759871204	985.086617045	996.931700745	1016.7748643	1007.84865047
33	806.562738869	823.181173712	817.751872523	826.765777289	857.559242791	874.590972484	883.874268286	874.391566859	906.766550265	915.94355177	927.625078359	894.442593179	862.595328766	870.808590827	879.072808537	868.378089253	878.249387442
34	806.562738869	818.717367969	835.208819769	826.826856819	835.706919751	844.645616956	838.193597859	849.656597578	880.704438735	870.95411066	861.266613393	872.461462998	880.536231262	888.660277871	905.005830593	921.996983943	930.237357386
35	806.562738869	837.142221305	846.495471275	838.071618998	832.440574607	803.11557678	774.93649962	790.098623679	798.084166707	806.144059439	816.518119536	824.525069977	840.570398498	810.666620346	820.298180397	827.848339103	817.629611794
36	806.562738869	823.157740578	835.210609045	826.814850595	838.623834064	850.501369356	862.35335819	870.876721653	879.442814223	891.318765828	881.288257238	874.178236037	889.928491086	879.570337121	890.596919657	883.041340817	872.188162403
37	806.562738869	818.730910293	813.54521644	822.319416002	817.07929128	811.978018512	783.211260277	755.608004078	751.029084715	724.732772711	716.524300323	723.159707202	714.755514837	709.929013505	716.103604994	728.794909894	737.546381788
38	806.562738869	837.140849258	853.963641952	845.58119225	837.108015245	828.714845415	820.303954573	814.062966397	805.56384678	835.422541319	846.24067196	877.501908853	846.097406878	836.747673689	827.424703458	834.068870697	826.979638552
39	806.562738869	801.625760132	817.583388225	833.894311493	865.043201113	834.698653012	866.138844079	898.925729609	933.102234824	951.537090452	963.852343347	957.11445625	923.66716035	913.175693291	947.706572082	983.587155785	1020.90314075
40	806.562738869	823.158720133	835.210110162	805.960282783	777.756850153	788.688644547	818.102464767	809.527939202	800.978453982	792.487280527	808.073434912	815.52318703	825.68795782	835.90907292	805.805482389	834.991259148	805.007354709
41	806.562738869	798.960779636	810.754142505	822.560623539	853.024003362	847.161450675	855.863382743	846.555185122	840.578703466	831.237953905	821.876641911	812.591350711	803.247519801	797.219252745	787.842657177	781.620189474	809.80840405
42	806.562738869	801.624807915	813.554458546	805.304559065	821.063785303	832.646430487	803.152029458	832.96427267	803.594432949	833.546315247	804.303802725	814.757932474	825.334541577	819.464843436	849.820876824	856.754637715	867.167076865
43	806.562738869	798.934945168	829.016456674	823.582573103	815.20881635	809.896735485	801.411306874	796.145027522	806.897122054	817.728395688	812.404534737	807.196769464	837.239912859	847.939573056	855.225759637	865.951583454	897.597809536
44	806.562738869	837.164889463	868.916005193	901.953426265	892.836068469	910.376712944	928.54398602	921.935818329	940.257628959	930.272257555	942.232768584	961.00231119	996.846825524	988.868720648	953.900656684	989.641740202	978.159639248
45	806.562738869	801.625141026	810.571720176	805.494845686	800.588872487	809.068424468	824.408359556	855.038108432	871.34552019	903.705969008	921.138352102	888.726228691	899.888771461	933.161346892	922.120054625	889.395746645	878.485305212
46	806.562738869	778.629368398	808.09359708	816.982735218	847.69818438	856.724944047	850.836920209	841.711834731	873.154985415	863.631334013	857.731834833	851.8980189	842.068771046	812.161238029	842.499865885	852.753272099	822.31191758
47	806.562738869	798.884933007	791.160277134	799.865127643	811.154292945	827.100778994	820.799403744	814.799952655	805.927598724	777.045763637	805.687191943	813.084030947	783.954494681	778.153312748	750.280312418	777.861440932	791.814067169
48	806.562738869	815.984045952	787.456943509	798.784684613	807.464794802	801.739108094	796.284921041	804.50100821	795.468668033	810.346986401	820.978450874	791.475760019	785.572869995	792.796919192	821.643732998	836.437688143	866.743013776
49	806.562738869	823.152581437	832.527637497	826.719296903	818.201636062	848.626222981	865.442107725	859.095875616	853.097996598	864.495646915	858.628198658	828.102738782	822.59756638	829.902656738	800.343054418	790.500762119	784.977903492
