partes	grt20072008	grt20082009	grt20092010	grt20102011	grt20112012	grt20122013	grt20132014
72	0.0251374593583	0.0207072214497	0.00780459865723	-0.0369665258237	0.0176936787051	-0.128482291367	-0.168521560158
73	0.0253890063517	0.0239623988995	0.00462742137392	-0.0359278017942	0.0192847061469	-0.127895521322	-0.168069463679
74	0.0226590162014	0.0235830897457	0.00645142474414	-0.0336872099464	0.0147829828773	-0.126725946598	-0.162638193768
75	0.0218556918662	0.0217219760023	0.00852139880585	-0.0332778515238	0.015054341933	-0.128032848261	-0.158147586066
76	0.019426519791	0.0200228239108	0.0153508275554	-0.0385029979752	0.0151032898879	-0.120202708277	-0.161748771876
77	0.020171463282	0.0196492957717	0.0145714735525	-0.0393086594489	0.0146955945787	-0.118821821203	-0.16192673775
78	0.0209818403366	0.0191499839433	0.0125962238988	-0.0370797690821	0.0135079718383	-0.117591722449	-0.163446731342
79	0.0178741378785	0.017268823133	0.0157339699132	-0.0358289677976	0.0115832401819	-0.108937516477	-0.172488151571
80	0.0174086583954	0.0197087842772	0.0153856789886	-0.0335372182352	0.00791004204461	-0.102285299357	-0.177116384857
81	0.0148788871138	0.0237705065105	0.0158561733358	-0.0372310179772	0.00970220267478	-0.103587087783	-0.1764626888
82	0.0141809617524	0.0248022311383	0.0147619276983	-0.0333924486726	0.0120444367441	-0.104944913113	-0.180974179732
83	0.0131459751745	0.0272820066897	0.0167390763083	-0.0325690899177	0.00944984488243	-0.102037463886	-0.182797438582
84	0.0127216365548	0.0292451273687	0.0196166653107	-0.0373954189501	0.0119694824518	-0.103276432541	-0.181970157036
85	0.0126162375809	0.0313264791213	0.0221032927235	-0.0426044154235	0.0158559850937	-0.102080352466	-0.184318960216
86	0.012434336192	0.0311959400811	0.0214932809405	-0.0397135693746	0.0158537084446	-0.0968191445427	-0.188712282623
87	0.0122728093259	0.0315766478674	0.0245704837602	-0.0383070706981	0.0131735671162	-0.0969442623241	-0.190474419822
88	0.0120171482462	0.029491006975	0.0290236479685	-0.0404694270241	0.0155575689395	-0.0959730603299	-0.192055229457
89	0.0122747684147	0.0287468412042	0.0318136615749	-0.0436520364468	0.0173112892259	-0.0936847301987	-0.194084977618
90	0.0142773489181	0.0271126789062	0.0314819027403	-0.0455782356106	0.0206876473506	-0.0951094450184	-0.195142382181
91	0.0147507627106	0.0253247602674	0.0339078752551	-0.0492019231729	0.0226192089542	-0.0963253519311	-0.195175387873
92	0.0176310149667	0.0254939015666	0.0325452065606	-0.0514712368378	0.0228024792038	-0.0982959308995	-0.191251581615
93	0.0174914298944	0.0240802570042	0.0332282723092	-0.0517595187792	0.0242681158202	-0.100368044147	-0.190267319295
94	0.0182765347044	0.0228956152152	0.0334120242563	-0.052855976562	0.0266885440285	-0.102170199347	-0.188419000567
95	0.0187067505903	0.0222407754446	0.0323158796625	-0.0534393098965	0.0301573691306	-0.104489626308	-0.188117161481
96	0.0237078143549	0.0196394121016	0.0300651696431	-0.050836358963	0.0284018975757	-0.104921329612	-0.182255798885
97	0.0238386814823	0.0190759496591	0.0290338129698	-0.0504752570614	0.0303170848188	-0.104233651397	-0.178929354897
98	0.0240916977923	0.0214171673436	0.0255744731222	-0.0478632157212	0.0334093871911	-0.108239090029	-0.175029487952
99	0.0245156445942	0.0240485546659	0.021548350673	-0.0472761108349	0.0337855596672	-0.105613286249	-0.177609534712
100	0.0256702335394	0.0278791295561	0.0171777352117	-0.0461680482775	0.0346738906191	-0.103644585613	-0.179617992165
101	0.0246984275731	0.0306553219707	0.0126889376471	-0.0433061174585	0.0315892062648	-0.0999988475583	-0.180609385345
102	0.0267884813885	0.0295363226704	0.00937771639028	-0.04129085165	0.0304846812152	-0.100232491188	-0.177247388929
103	0.024844673547	0.0300508329728	0.00874569905494	-0.0428679405125	0.0330565065863	-0.0987027984804	-0.177061884719
104	0.0268559719954	0.0275515698075	0.00636775896398	-0.041077517211	0.0325443481104	-0.0973496689801	-0.176452399988
105	0.0316407523638	0.0240037051814	0.0044957231699	-0.0367628620302	0.0296187665002	-0.0949480128184	-0.174841640745
106	0.0305391567689	0.0279156804873	-0.00202439911069	-0.0319686395407	0.0249448935361	-0.092096704847	-0.174674167421
107	0.0294153255169	0.0286850216444	-0.00389632320146	-0.0314410091241	0.0237364307005	-0.0889752301234	-0.172787647661
108	0.0289446544487	0.0274658802519	-0.00435173760163	-0.0315773652252	0.0234057912057	-0.0880878226066	-0.170767780834
109	0.0310498912018	0.0241475778521	-0.00352222881192	-0.0322642711726	0.0241058607927	-0.0863843841889	-0.171143475249
110	0.032987821777	0.0226322993228	-0.00348022836687	-0.0312068827974	0.0227943358053	-0.0828127358966	-0.170362748026
111	0.0325405618191	0.0218296707104	-0.00182445018347	-0.0327265280258	0.0222982014362	-0.0780474076203	-0.169487180375
112	0.0326984643711	0.0210740361525	-0.00107838376729	-0.0330543629071	0.0228209550866	-0.075027154121	-0.170167871829
113	0.0323354452287	0.0192371653737	-0.000127676884816	-0.0337373038899	0.0238310867635	-0.0737154522764	-0.169260011572
114	0.0355442366655	0.0160759760328	0.00104531958715	-0.0322828388119	0.0241708328545	-0.0759831207557	-0.168621799666
115	0.0376003002914	0.0168554805867	-0.00181618413843	-0.0317193303006	0.0258013514011	-0.0781109578529	-0.169371456716
116	0.0378794704359	0.0171115235897	-0.00188488167488	-0.0319065539968	0.02599022571	-0.07741691418	-0.170987105691
117	0.0423219980026	0.0125347316009	0.00177396028676	-0.0334337423287	0.0290861181828	-0.0798771116889	-0.169822330761
118	0.0414625457752	0.0111651905857	0.00448176025599	-0.0328770032693	0.0314759867556	-0.0814103523574	-0.170356330253
119	0.0399302445222	0.00988031346227	0.00861333063105	-0.0340165921309	0.0311425452312	-0.0791387185106	-0.170795387446
120	0.0380317895849	0.0108851843447	0.0101972835853	-0.0334964081113	0.0290822653921	-0.0782284579545	-0.171055154463
121	0.0407105495648	0.0103495080693	0.0122538532496	-0.0353433079823	0.0309830922333	-0.0804276716676	-0.169966475988
122	0.0386035496318	0.0110499432617	0.0194521263331	-0.0388875028389	0.0296930202851	-0.0816174906359	-0.16806579638
123	0.0375798278141	0.0130655592833	0.0220940213487	-0.0422230051664	0.0303395886191	-0.0834881006013	-0.166994843184
124	0.0362376561227	0.0149466268515	0.0219631050678	-0.042310137682	0.0305649768764	-0.0850434638466	-0.165990818197
125	0.0339426816258	0.0192087265113	0.0202369537983	-0.0436504891435	0.0321461972145	-0.0851203711067	-0.163333045071
126	0.034200693612	0.0196152623791	0.0193045662589	-0.0436381107173	0.0327265675989	-0.0849854442583	-0.161195417195
127	0.0344067897468	0.0202128514564	0.0180076908147	-0.0414418104257	0.0352570630331	-0.0882322454668	-0.161553284462
128	0.0313603088116	0.0240205820145	0.0142073207577	-0.0394452089629	0.0359882176362	-0.08943291702	-0.160561178196
129	0.0278301288681	0.0274459264272	0.0144677011763	-0.0418523293257	0.0365637720322	-0.088046812358	-0.160151968743
130	0.0270526645042	0.0307690774199	0.0129475308128	-0.0427851597873	0.0364182416189	-0.0867222752448	-0.158962847022
131	0.0281115519647	0.0311341205214	0.0137040973402	-0.0454072585988	0.0389985606422	-0.0850064189656	-0.163282110362
132	0.0288097711894	0.0301637492425	0.0147985663844	-0.0470631632218	0.0406002708219	-0.0864564912672	-0.160618428809
133	0.0295498169585	0.0306332235761	0.014678597028	-0.0479458030334	0.0409152364635	-0.0870807236009	-0.161579566772
134	0.0296188748363	0.0315214485019	0.0133607213613	-0.0486402520843	0.043380146892	-0.0908383267608	-0.160118861182
135	0.0322779459744	0.0301878057227	0.0116638363593	-0.0485400641973	0.0452690651074	-0.0911491907063	-0.163412910695
136	0.0319222734148	0.0296785169819	0.01022409238	-0.0463164926854	0.044739306383	-0.089329191353	-0.167348024458
137	0.0292819115742	0.0318017344695	0.00924869906572	-0.0452195513703	0.0438498371065	-0.0893221997839	-0.167247071864
138	0.0308133312372	0.0318899415637	0.00887516319274	-0.0448317584871	0.0424739530012	-0.0894803970788	-0.164150037806
139	0.0308739650335	0.0313049401796	0.00859568150786	-0.0445222011258	0.0433429324361	-0.0913000833767	-0.16229285644
140	0.0331183950411	0.029631802654	0.00911163910276	-0.0451169458219	0.0454522477936	-0.094814964302	-0.160439749849
